Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM)
513,0.3125,0,0,0.1403,0.0061,0.7653,0,0,0,0,0.503,0,0.195,0,0.336,0
514,0.3141,0,0,0.134,0.0051,0.743,0,0,0,0,0.506,0,0.204,0,0.349,0
515,0.3168,0,0,0.1288,0.0053,0.7193,0,0,0,0,0.507,0,0.211,0,0.357,0
516,0.3214,0,0,0.1236,0.005,0.695,0,0,0,0,0.508,0,0.22,0,0.37,0
517,0.3281,0,0,0.1184,0.0051,0.672,0,0,0,0,0.508,0,0.229,0,0.38,0
518,0.3363,0,0,0.1132,0.0048,0.6529,0,0,0,0,0.506,0,0.238,0,0.387,0
519,0.3436,0,0,0.108,0.0044,0.6317,0,0,0,0,0.505,0,0.249,0,0.395,0
520,0.3507,0,0,0.1031,0.0044,0.6111,0,0,0,0,0.505,0,0.256,0,0.401,0
521,0.3606,0,0,0.0986,0.0043,0.5935,0,0,0,0,0.506,0,0.267,0,0.408,0
522,0.3707,0,0,0.0942,0.0049,0.5738,0,0,0,0,0.508,0,0.276,0,0.415,0
523,0.3803,0,0,0.0897,0.005,0.5558,0,0,0,0,0.509,0,0.288,0,0.418,0
524,0.3906,0,0,0.0853,0.0049,0.5412,0,0,0,0,0.515,0,0.299,0,0.425,0
525,0.4013,0,0,0.0808,0.0048,0.5288,0,0,0,0,0.522,0,0.31,0,0.431,0
526,0.4125,0,0,0.0771,0.0051,0.5132,0,0,0,0,0.53,0,0.32,0,0.44,0
527,0.4242,0,0,0.0738,0.0054,0.502,0,0,0,0,0.54,0,0.332,0,0.441,0
528,0.4358,0,0,0.0705,0.0048,0.4866,0,0,0,0,0.552,0,0.347,0,0.452,0
529,0.4458,0,0,0.0671,0.0048,0.4751,0,0,0,0,0.566,0,0.358,0,0.46,0
530,0.4558,0,0,0.0638,0.0046,0.4653,0,0,0,0,0.582,0.020395939,0.372,0,0.469,0
531,0.4671,0,0,0.0605,0.0037,0.4559,0,0,0,0,0.599,0.024828269,0.383,0,0.479,0
532,0.477,0,0,0.0577,0.0029,0.4486,0,0,0,0,0.617,0.030093071,0.397,0,0.488,0
533,0.4872,0,0,0.055,0.0032,0.4333,0,0,0,0,0.64,0.0369429,0.412,0,0.503,0
534,0.4981,0,0,0.0522,0.0026,0.4286,0,0,0,0,0.664,0.044968633,0.424,0,0.518,0
535,0.5069,0,0,0.0495,0.0026,0.4227,0.0073993,0,0.0006714,0,0.689,0.055592436,0.439,0,0.532,0.008168093
536,0.5144,0,0,0.0467,0.0029,0.4099,0.0079508,0,0.0008516,0,0.714,0.066224064,0.454,0,0.548,0.009695875
537,0.5225,0,0,0.0439,0.0028,0.4019,0.0086489,0,0.0011072,0,0.744,0.083094006,0.466,0,0.569,0.010560249
538,0.531,0,0,0.0408,0.0029,0.3952,0.0100208,0,0.0016197,0,0.774,0.104856815,0.48,0,0.591,0.013667245
539,0.5394,0,0,0.0377,0.003,0.3846,0.0117384,0,0.0023522,0,0.807,0.130878524,0.494,0,0.61,0.015850274
540,0.548,0,0,0.0345,0.0036,0.3783,0.0137952,0,0.0033141,0,0.838,0.154970289,0.505,0,0.635,0.018600171
541,0.5536,0,0,0.0314,0.0036,0.3723,0.0160624,0,0.0044889,0,0.866,0.177561857,0.519,0,0.656,0.022939643
542,0.5576,0,0,0.0283,0.0047,0.3622,0.0184948,0,0.0058604,0,0.897,0.202005565,0.529,0,0.69,0.027518311
543,0.56,0,0,0.0255,0.0042,0.354,0.0210565,0,0.0074226,0,0.925,0.236033413,0.54,0,0.722,0.032059757
544,0.5612,0,0,0.0234,0.0046,0.346,0.0237443,0,0.0091505,0,0.95,0.276116607,0.552,0,0.746,0.038686409
545,0.5621,0,0,0.0212,0.0046,0.339,0.0265696,0,0.0110256,0,0.971,0.321514701,0.564,0,0.781,0.047324737
546,0.5621,0,0,0.019,0.0047,0.3308,0.0295488,0,0.0130034,0,0.987,0.367141406,0.57,0,0.813,0.056482624
547,0.5629,0,0,0.0168,0.0053,0.3161,0.0326825,0,0.0150508,0,0.996,0.41602448,0.582,0,0.845,0.068872562
548,0.5656,0,0,0.0146,0.0048,0.3106,0.0359594,0,0.0171026,0,1,0.472941,0.59,0,0.875,0.080238324
549,0.5684,0,0,0.0127,0.0055,0.3004,0.0393529,0,0.0191021,0,0.995,0.531226502,0.598,0,0.903,0.096652807
550,0.574,0,0,0.011,0.0046,0.2942,0.0428209,0,0.021033,0,0.984,0.586635055,0.603,0,0.932,0.116322902
551,0.5829,0,0,0.0092,0.0042,0.2808,0.0463116,0,0.0229123,0,0.963,0.645402172,0.611,0,0.951,0.134682317
552,0.5924,0,0,0,0.0036,0.2724,0.0497784,0,0.0247613,0,0.936,0.697424512,0.614,0,0.973,0.153423495
553,0.6012,0,0,0,0.003,0.2674,0.0531742,0,0.0266508,0,0.899,0.750866047,0.622,0,0.981,0.181627217
554,0.611,0,0,0,0.0026,0.2583,0.056467,0,0.028618,0,0.856,0.803014345,0.628,0,1,0.210121112
